stock,date,neg,neu,pos,compound,open,high,low,close,adj close,volume
JNJ,2023-10-24,0.0497,0.8423,0.1073,0.9882,150.75,151.960007,150.130005,151.229996,151.229996,6155300.0
JNJ,2023-10-25,0.0515,0.83,0.1185,0.9827,151.240005,152.169998,150.229996,151.570007,151.570007,5880800.0
JNJ,2023-10-26,0.018,0.8755,0.1067,0.8828,151.970001,151.970001,148.880005,149.0,149.0,7612500.0
JNJ,2023-10-27,0.0,0.883,0.117,0.7845,148.490005,148.660004,144.949997,145.600006,145.600006,11385800.0
JNJ,2023-10-29,0.0573,0.843,0.0997,0.3296,,,,,,
JNJ,2023-10-30,0.084,0.8483,0.068,-0.4052,146.089996,147.240005,146.0,147.029999,147.029999,8205300.0
JNJ,2023-10-31,0.0413,0.8673,0.0913,0.2589,,,,,,
NVDA,2023-10-01,0.0278,0.8107,0.161,0.9866,,,,,,
NVDA,2023-10-02,0.0297,0.8043,0.1655,0.9831,440.299988,451.75,438.609985,447.820007,447.820007,43329800.0
NVDA,2023-10-03,0.017,0.8393,0.1437,0.9929,448.079987,451.299988,432.459991,435.170013,435.170013,47085000.0
NVDA,2023-10-04,0.021,0.8695,0.1098,0.9083,437.420013,441.429993,432.920013,440.410004,440.410004,36182100.0
NVDA,2023-10-05,0.0323,0.8433,0.1247,0.9096,440.5,449.0,438.880005,446.880005,446.880005,39348300.0
NVDA,2023-10-06,0.0338,0.8263,0.1398,0.9964,441.929993,457.890015,440.26001,457.619995,457.619995,43339700.0
NVDA,2023-10-07,0.042,0.8578,0.1005,0.4972,,,,,,
NVDA,2023-10-08,0.0278,0.8442,0.128,0.999,,,,,,
NVDA,2023-10-09,0.0338,0.844,0.1217,0.9984,448.420013,456.049988,443.679993,452.730011,452.730011,40967500.0
NVDA,2023-10-10,0.0257,0.8468,0.127,0.99,453.100006,462.589996,450.880005,457.980011,457.980011,36858200.0
NVDA,2023-10-11,0.0355,0.8143,0.1505,0.9974,461.959991,468.589996,460.5,468.059998,468.059998,37813700.0
NVDA,2023-10-12,0.025,0.824,0.1512,0.9974,467.769989,476.089996,463.299988,469.450012,469.450012,48132500.0
NVDA,2023-10-13,0.0408,0.7927,0.167,0.9469,469.600006,471.160004,452.799988,454.609985,454.609985,47411500.0
NVDA,2023-10-14,0.0612,0.826,0.113,0.499,,,,,,
NVDA,2023-10-15,0.0295,0.7947,0.176,0.9958,,,,,,
NVDA,2023-10-16,0.0295,0.7875,0.1827,0.9965,450.630005,462.25,449.119995,460.950012,460.950012,37509900.0
NVDA,2023-10-17,0.0385,0.855,0.1062,0.9474,440.0,447.540009,424.799988,439.380005,439.380005,81233300.0
NVDA,2023-10-18,0.034,0.878,0.088,0.5157,425.910004,432.190002,418.25,421.959991,421.959991,62729400.0
NVDA,2023-10-19,0.0457,0.8678,0.0865,0.4121,428.109985,432.970001,418.820007,421.01001,421.01001,50123300.0
NVDA,2023-10-20,0.0542,0.8423,0.1032,0.4474,418.899994,424.700012,410.779999,413.869995,413.869995,47638100.0
NVDA,2023-10-21,0.038,0.8425,0.1195,0.8161,,,,,,
NVDA,2023-10-22,0.0408,0.8515,0.1075,0.5732,,,,,,
NVDA,2023-10-23,0.0398,0.8632,0.097,0.4516,412.290009,432.480011,409.450012,429.75,429.75,47853000.0
NVDA,2023-10-24,0.0293,0.8638,0.1072,0.8315,430.769989,436.970001,426.910004,436.630005,436.630005,40146300.0
NVDA,2023-10-25,0.032,0.8347,0.1333,0.9947,433.980011,436.5,415.549988,417.790009,417.790009,39837900.0
NVDA,2023-10-26,0.014,0.8393,0.1465,0.999,418.529999,422.559998,398.799988,403.26001,403.26001,54100100.0
NVDA,2023-10-27,0.0245,0.8003,0.1752,0.9984,411.299988,412.059998,400.149994,405.0,405.0,41678400.0
NVDA,2023-10-28,0.0213,0.816,0.1628,0.9912,,,,,,
NVDA,2023-10-29,0.0085,0.8795,0.1123,0.9945,,,,,,
NVDA,2023-10-30,0.0085,0.8795,0.1123,0.9945,410.869995,417.660004,404.809998,411.609985,411.609985,38802800.0
NVDA,2023-10-31,0.0365,0.8552,0.1085,0.9912,404.5,408.790009,392.299988,407.799988,407.799988,51796900.0
